#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.286056E-04   0.191063E+08   0.191063E+08   0.253726E+08   0.253724E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471100E+00   0.998186E+07   0.998186E+07   0.154447E-01
   0.288931E-04   0.191063E+08   0.191063E+08   0.253705E+08   0.253704E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471100E+00   0.998185E+07   0.998185E+07   0.155999E-01
   0.291835E-04   0.191063E+08   0.191063E+08   0.253684E+08   0.253682E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471100E+00   0.998185E+07   0.998185E+07   0.157566E-01
   0.294768E-04   0.191063E+08   0.191063E+08   0.253662E+08   0.253661E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471100E+00   0.998185E+07   0.998185E+07   0.159149E-01
   0.297730E-04   0.191063E+08   0.191063E+08   0.253640E+08   0.253639E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471100E+00   0.998185E+07   0.998185E+07   0.160748E-01
   0.300723E-04   0.191063E+08   0.191063E+08   0.253618E+08   0.253616E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471099E+00   0.998185E+07   0.998185E+07   0.162363E-01
   0.303745E-04   0.191063E+08   0.191063E+08   0.253595E+08   0.253593E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471099E+00   0.998184E+07   0.998184E+07   0.163994E-01
   0.306798E-04   0.191063E+08   0.191063E+08   0.253572E+08   0.253570E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471099E+00   0.998184E+07   0.998184E+07   0.165641E-01
   0.309881E-04   0.191063E+08   0.191063E+08   0.253548E+08   0.253546E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471099E+00   0.998184E+07   0.998184E+07   0.167305E-01
   0.312995E-04   0.191063E+08   0.191063E+08   0.253524E+08   0.253522E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471099E+00   0.998184E+07   0.998184E+07   0.168986E-01
   0.316141E-04   0.191063E+08   0.191063E+08   0.253499E+08   0.253497E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191134E+08  -0.471099E+00   0.998183E+07   0.998183E+07   0.170683E-01
   0.319318E-04   0.191063E+08   0.191063E+08   0.253474E+08   0.253472E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191134E+08  -0.471099E+00   0.998183E+07   0.998183E+07   0.172398E-01
   0.322528E-04   0.191063E+08   0.191063E+08   0.253448E+08   0.253446E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191134E+08  -0.471098E+00   0.998183E+07   0.998183E+07   0.174130E-01
   0.325769E-04   0.191063E+08   0.191063E+08   0.253421E+08   0.253419E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191134E+08  -0.471098E+00   0.998183E+07   0.998183E+07   0.175879E-01
   0.329043E-04   0.191063E+08   0.191062E+08   0.253395E+08   0.253393E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191134E+08  -0.471098E+00   0.998182E+07   0.998182E+07   0.177646E-01
   0.332350E-04   0.191062E+08   0.191062E+08   0.253367E+08   0.253365E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471098E+00   0.998182E+07   0.998182E+07   0.179430E-01
   0.335690E-04   0.191062E+08   0.191062E+08   0.253339E+08   0.253337E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471098E+00   0.998182E+07   0.998182E+07   0.181233E-01
   0.339064E-04   0.191062E+08   0.191062E+08   0.253311E+08   0.253309E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471098E+00   0.998182E+07   0.998182E+07   0.183053E-01
   0.342472E-04   0.191062E+08   0.191062E+08   0.253282E+08   0.253280E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471097E+00   0.998181E+07   0.998181E+07   0.184892E-01
   0.345913E-04   0.191062E+08   0.191062E+08   0.253252E+08   0.253250E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471097E+00   0.998181E+07   0.998181E+07   0.186749E-01
   0.349390E-04   0.191062E+08   0.191062E+08   0.253222E+08   0.253220E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471097E+00   0.998181E+07   0.998181E+07   0.188625E-01
   0.352901E-04   0.191062E+08   0.191062E+08   0.253191E+08   0.253189E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471097E+00   0.998180E+07   0.998180E+07   0.190519E-01
   0.356448E-04   0.191062E+08   0.191062E+08   0.253160E+08   0.253157E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471097E+00   0.998180E+07   0.998180E+07   0.192433E-01
   0.360030E-04   0.191062E+08   0.191062E+08   0.253127E+08   0.253125E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471097E+00   0.998180E+07   0.998180E+07   0.194366E-01
   0.363649E-04   0.191062E+08   0.191062E+08   0.253095E+08   0.253092E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471096E+00   0.998179E+07   0.998179E+07   0.196318E-01
   0.367304E-04   0.191062E+08   0.191062E+08   0.253061E+08   0.253059E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191134E+08  -0.471096E+00   0.998179E+07   0.998179E+07   0.198290E-01
   0.370995E-04   0.191062E+08   0.191062E+08   0.253027E+08   0.253025E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191133E+08  -0.471096E+00   0.998179E+07   0.998179E+07   0.200281E-01
   0.374724E-04   0.191062E+08   0.191062E+08   0.252992E+08   0.252990E+08   0.000000E+00   0.191062E+08   0.191062E+08   0.191133E+08  -0.471096E+00   0.998178E+07   0.998178E+07   0.202293E-01
